ID,TimePT,TimeCar,MarginalCostPT,CostCarCHF,distance_km,age,NbChild,NbCar,NbMoto,NbBicy,Choice,Gender_man,Gender_unreported,Gender_woman,OccupStat_fulltime,OccupStat_notfulltime
10350017,85,32,0.0,4.54,30.0,27,0,1,0,3,1,1,0,0,0,1
10350075,107,23,24.0,3.38,25.0,63,0,1,0,0,1,0,0,1,0,1
10350085,190,14,10.8,1.66,12.5,57,0,2,0,3,1,1,0,0,1,0
10350086,116,20,9.6,2.71,19.0,58,0,2,0,3,1,0,0,1,0,1
10350100,20,9,2.2,1.63,13.0,80,0,1,0,0,1,1,0,0,0,1
10350120,116,33,12.4,6.98,45.0,64,0,1,0,2,1,0,0,1,0,1
10350133,92,27,11.0,3.88,27.0,59,0,1,0,2,1,1,0,0,1,0
10350197,124,22,0.0,3.5,26.0,30,0,2,0,1,1,1,0,0,1,0
10350199,123,19,9.4,2.91,22.0,33,1,2,0,2,1,0,0,1,0,1
10350199,80,12,4.8,1.62,11.0,33,1,2,0,2,1,0,0,1,0,1
10350272,266,51,37.2,7.65,55.0,42,3,2,0,3,1,1,0,0,1,0
10350272,250,40,11.0,7.39,49.5,42,3,2,0,3,1,1,0,0,1,0
10359998,33,9,3.0,0.97,7.0,50,0,2,0,4,1,1,0,0,1,0
10359999,88,40,26.0,7.19,54.0,-1,-1,-1,-1,-1,0,0,1,0,0,1
10360009,29,9,6.2,1.32,9.0,69,2,4,1,4,1,1,0,0,0,1
10360009,0,1,0.0,0.2,0.8,69,2,4,1,4,2,1,0,0,0,1
10360009,71,14,4.8,1.52,11.0,69,2,4,1,4,1,1,0,0,0,1
10360009,90,5,6.2,0.6,3.0,69,2,4,1,4,1,1,0,0,0,1
10360013,181,24,16.2,2.97,20.0,42,2,2,0,4,1,1,0,0,1,0
10360014,95,27,9.6,4.07,28.0,42,0,2,0,4,1,1,0,0,1,0
10360015,126,26,9.2,3.87,28.0,-1,-1,-1,-1,-1,1,0,1,0,0,1
10360016,184,30,20.0,3.68,22.0,44,0,1,0,1,1,0,0,1,1,0
10360023,162,10,0.0,1.12,7.0,17,3,2,1,6,1,0,0,1,0,1
10360023,111,19,0.0,2.06,16.5,17,3,2,1,6,1,0,0,1,0,1
10360023,182,12,0.0,1.35,11.0,17,3,2,1,6,1,0,0,1,0,1
10360035,118,33,11.0,4.7,30.0,54,0,3,0,2,1,0,0,1,0,1
10360095,50,16,4.8,2.35,15.0,30,-1,2,2,2,1,0,0,1,0,1
10360095,63,16,4.8,2.32,16.0,30,-1,2,2,2,1,0,0,1,0,1
10360113,145,14,14.0,1.81,14.2,53,0,3,2,3,1,1,0,0,1,0
10360139,135,33,7.8,4.46,31.0,46,2,2,1,3,1,0,0,1,0,1
10360139,0,2,2.2,0.49,1.4,46,2,2,1,3,1,0,0,1,0,1
10360162,98,5,3.0,0.6,3.5,70,0,1,0,2,1,1,0,0,0,1
10360162,11,2,2.2,0.21,0.7,70,0,1,0,2,2,1,0,0,0,1
10360162,15,3,0.0,0.46,1.1,70,0,1,0,2,2,1,0,0,0,1
10360193,159,28,43.2,4.61,32.5,37,0,2,0,0,1,1,0,0,1,0
10360195,194,47,9.6,6.98,51.5,52,0,2,1,4,1,0,0,1,0,1
10360212,61,15,6.2,2.39,16.0,59,0,2,0,0,1,1,0,0,0,1
10360212,73,8,6.2,0.87,6.5,59,0,2,0,0,1,1,0,0,0,1
10360225,60,17,2.4,2.45,16.0,60,0,1,0,3,1,0,0,1,0,1
10360225,228,64,38.9,12.8,97.0,60,0,1,0,3,1,0,0,1,0,1
10360225,269,180,44.6,38.61,298.0,60,0,1,0,3,1,0,0,1,0,1
10360235,219,49,38.4,9.04,67.0,61,0,3,1,5,1,1,0,0,1,0
10360236,193,40,15.8,5.03,32.5,48,-1,3,1,5,1,0,0,1,0,1
10360283,127,44,12.4,4.69,32.0,-1,-1,-1,-1,-1,1,0,1,0,0,1
10360284,162,33,7.0,4.63,34.0,66,0,2,0,2,1,0,0,1,0,1
10360284,151,28,4.8,3.28,21.6,66,0,2,0,2,1,0,0,1,0,1
10360285,176,30,11.0,4.49,29.0,39,2,2,1,4,1,0,0,1,0,1
10360285,143,34,11.0,4.79,30.0,39,2,2,1,4,1,0,0,1,0,1
10360286,185,61,43.2,11.78,88.0,42,2,2,1,4,1,1,0,0,1,0
10360366,189,36,15.8,4.33,27.0,78,-1,1,-1,-1,1,1,0,0,0,1
10360414,108,23,9.6,3.4,25.0,44,3,1,1,5,1,1,0,0,1,0
10360414,102,24,9.6,3.73,27.0,44,3,1,1,5,1,1,0,0,1,0
10360415,77,18,6.0,2.01,14.0,36,3,1,1,5,1,0,0,1,0,1
10360458,9,0,2.2,0.07,0.2,41,1,2,-1,5,1,0,0,1,1,0
10360458,16,3,2.2,0.37,3.0,41,1,2,-1,5,1,0,0,1,1,0
10360460,66,16,9.6,2.41,17.0,27,0,2,0,1,1,1,0,0,1,0
10360462,124,46,12.4,6.68,50.5,65,0,1,0,0,1,0,0,1,0,1
10360464,91,22,0.0,2.95,22.5,17,1,1,1,4,0,1,0,0,0,1
10360475,53,1,2.8,0.16,0.7,50,1,2,0,7,0,1,0,0,1,0
10360475,162,85,21.0,14.37,109.0,50,1,2,0,7,1,1,0,0,1,0
10360518,104,35,11.0,4.63,31.0,28,0,2,0,2,1,0,0,1,0,1
10360519,279,117,46.2,15.35,109.0,29,0,2,0,2,1,1,0,0,0,1
10360519,127,31,12.4,3.48,24.0,29,0,2,0,2,1,1,0,0,0,1
10360527,102,14,4.8,2.24,16.5,41,2,1,1,3,1,0,0,1,0,1
10360527,82,12,3.0,1.48,11.0,41,2,1,1,3,1,0,0,1,0,1
10360532,105,29,11.0,4.63,31.0,37,1,2,0,2,1,1,0,0,1,0
10360533,251,76,65.8,15.96,119.0,39,1,2,0,3,1,0,0,1,0,1
10360564,105,45,10.2,6.78,49.0,75,-1,2,-1,1,1,1,0,0,0,1
10360564,146,55,16.4,9.92,72.0,75,-1,2,-1,1,1,1,0,0,0,1
10360566,141,36,14.4,4.87,32.0,52,-1,1,0,1,1,1,0,0,1,0
10360626,45,15,2.4,2.15,15.0,53,-1,1,-1,1,1,1,0,0,0,1
10540009,222,55,49.6,9.06,69.0,44,2,2,1,3,1,0,0,1,0,1
10540009,99,16,5.6,1.76,13.0,44,2,2,1,3,1,0,0,1,0,1
10540009,65,5,5.4,0.6,3.8,44,2,2,1,3,1,0,0,1,0,1
10540067,26,32,2.2,3.31,25.0,55,1,2,0,4,1,1,0,0,1,0
10540067,10,0,2.2,0.07,0.4,55,1,2,0,4,1,1,0,0,1,0
10540067,66,16,2.2,1.75,12.0,55,1,2,0,4,1,1,0,0,1,0
10540067,42,3,2.2,0.36,2.0,55,1,2,0,4,1,1,0,0,1,0
10540128,124,40,12.2,3.77,23.5,64,0,2,0,3,1,0,0,1,0,1
10540131,101,31,8.8,4.54,32.0,40,2,2,0,5,1,0,0,1,0,1
10540131,105,31,7.1,4.51,32.0,40,2,2,0,5,1,0,0,1,0,1
10540169,112,20,3.9,2.21,17.5,69,0,1,0,2,1,1,0,0,0,1
10540178,66,3,4.8,0.39,2.5,59,0,2,0,2,1,1,0,0,0,1
10540178,186,34,8.2,3.94,28.0,59,0,2,0,2,1,1,0,0,0,1
10540184,110,13,11.0,1.23,6.0,63,-1,2,-1,-1,1,1,0,0,1,0
10540184,111,13,11.0,1.23,6.0,63,-1,2,-1,-1,1,1,0,0,1,0
10540187,96,34,0.0,3.2,18.0,45,2,1,1,4,1,1,0,0,1,0
10540199,119,38,5.5,4.57,32.0,22,-1,1,-1,2,0,0,0,1,0,1
10540215,67,17,6.2,2.19,17.0,40,0,2,0,2,1,0,0,1,1,0
10540216,139,33,16.4,5.79,45.0,30,0,2,0,2,1,1,0,0,1,0
10540237,64,11,6.0,1.16,6.5,34,1,2,0,2,1,0,0,1,0,1
10540250,46,35,0.0,3.67,25.0,25,-1,1,-1,2,0,1,0,0,1,0
10540252,172,16,7.8,1.71,12.0,25,-1,1,-1,2,1,0,0,1,1,0
10540260,123,41,0.0,4.08,23.5,20,0,1,0,3,0,0,0,1,0,1
10540265,168,28,35.1,2.97,22.0,44,2,2,0,4,1,1,0,0,1,0
10540266,234,40,7.9,4.18,28.8,41,2,2,0,4,1,0,0,1,0,1
10540269,97,33,11.0,3.27,17.5,52,-1,2,1,2,1,0,0,1,0,1
10540270,113,36,11.0,3.5,18.5,-1,-1,-1,-1,-1,1,0,1,0,0,1
10540271,196,25,12.6,3.12,23.0,35,4,2,0,6,1,0,0,1,0,1
10540271,93,8,6.0,0.85,5.1,35,4,2,0,6,1,0,0,1,0,1
10540297,270,171,43.3,28.12,208.0,44,0,1,0,0,1,1,0,0,1,0
10540298,167,63,12.5,9.76,68.0,33,-1,1,0,0,0,0,0,1,1,0
10540305,101,19,5.6,1.98,14.5,70,0,1,0,0,1,1,0,0,0,1
10540335,177,49,13.8,4.17,31.5,-1,0,2,1,3,1,0,1,0,0,1
10540353,434,142,65.8,21.84,159.0,-1,-1,-1,-1,-1,1,0,1,0,0,1
10540354,76,14,3.8,1.53,10.9,43,-1,2,1,2,1,0,0,1,1,0
10540384,65,17,4.8,1.79,12.0,75,0,2,0,3,1,1,0,0,0,1
10540395,140,66,13.3,6.71,37.0,47,2,2,1,4,1,1,0,0,1,0
10540514,67,14,2.4,1.39,9.5,77,0,2,0,1,1,0,0,1,0,1
10540514,65,14,2.4,1.39,9.5,77,0,2,0,1,0,0,0,1,0,1
10540514,44,6,2.2,0.72,5.5,77,0,2,0,1,1,0,0,1,0,1
10540514,103,26,8.6,2.84,22.0,77,0,2,0,1,0,0,0,1,0,1
10540516,55,38,5.5,3.77,25.0,30,0,2,0,0,1,1,0,0,1,0
10540517,117,33,8.8,3.48,23.0,39,1,2,0,4,1,1,0,0,1,0
10540531,166,44,12.2,4.47,28.5,74,0,2,0,0,1,1,0,0,0,1
10540532,119,37,13.6,4.08,27.5,71,0,2,0,0,1,0,0,1,0,1
10540532,32,6,3.0,0.72,5.5,71,0,2,0,0,1,0,0,1,0,1
10540559,46,5,5.6,0.72,4.1,63,-1,2,-1,2,1,1,0,0,1,0
10540559,265,45,19.2,6.31,42.0,63,-1,2,-1,2,1,1,0,0,1,0
10540606,164,24,4.8,2.46,18.5,77,0,1,0,3,1,1,0,0,0,1
10540675,25,3,2.2,0.4,2.0,63,0,0,0,2,1,0,0,1,0,1
10540675,23,4,2.8,0.49,3.0,63,0,0,0,2,1,0,0,1,0,1
10540689,141,28,6.0,2.92,21.0,38,2,2,0,4,1,1,0,0,1,0
10540689,118,28,6.0,2.92,21.0,38,2,2,0,4,1,1,0,0,1,0
10540691,135,20,13.2,2.19,15.6,43,2,2,0,4,1,0,0,1,0,1
10540691,68,7,5.2,0.79,5.5,43,2,2,0,4,1,0,0,1,0,1
10540692,278,62,61.6,8.54,65.5,37,2,2,0,3,1,1,0,0,1,0
10540692,33,4,5.4,0.54,3.1,37,2,2,0,3,1,1,0,0,1,0
10540774,232,77,50.0,10.15,72.0,57,0,2,0,3,1,1,0,0,1,0
10540804,141,44,7.0,4.64,31.5,24,-1,-1,-1,-1,0,1,0,0,0,1
10540806,22,5,2.2,0.53,3.0,67,0,2,0,0,1,0,0,1,0,1
10540807,59,11,2.4,1.2,7.0,43,0,1,0,0,1,1,0,0,0,1
10541086,245,71,14.2,9.37,66.0,41,2,1,1,4,1,0,0,1,0,1
10541086,85,35,5.5,3.54,24.0,41,2,1,1,4,1,0,0,1,0,1
10980037,17,17,0.0,1.71,11.0,29,-1,1,-1,1,0,0,0,1,1,0
10980079,154,30,4.8,3.24,19.6,40,3,2,0,7,1,1,0,0,1,0
10980080,126,20,3.1,2.21,15.5,38,3,2,0,6,1,0,0,1,0,1
10980080,153,41,5.5,6.99,52.0,38,3,2,0,6,1,0,0,1,0,1
10980080,48,20,2.2,2.21,15.5,38,3,2,0,6,1,0,0,1,0,1
10980080,114,20,3.1,2.14,14.5,38,3,2,0,6,1,0,0,1,0,1
10980223,89,46,72.1,4.67,24.4,73,-1,2,-1,-1,1,1,0,0,0,1
11460060,239,70,22.7,9.46,70.5,47,4,2,0,6,1,1,0,0,1,0
11460070,155,47,22.6,5.93,43.0,56,0,2,0,2,1,0,0,1,1,0
11460082,206,71,26.0,9.56,71.0,58,0,2,2,0,1,0,0,1,0,1
11460106,20,3,2.2,0.34,2.5,75,0,1,0,0,0,1,0,0,0,1
14050047,183,69,17.2,12.93,96.0,31,0,3,1,2,1,1,0,0,1,0
14050047,181,53,18.2,9.76,75.0,31,0,3,1,2,1,1,0,0,1,0
14050076,70,16,3.7,1.53,8.0,39,2,2,0,4,1,0,0,1,0,1
14050076,100,23,4.2,2.68,17.5,39,2,2,0,4,1,0,0,1,0,1
14050110,65,28,18.2,5.13,39.0,57,0,2,0,2,1,0,0,1,0,1
14050110,15,8,3.4,0.79,4.0,57,0,2,0,2,1,0,0,1,0,1
14050133,284,95,0.0,17.77,128.0,37,0,1,0,2,1,1,0,0,1,0
14050180,55,9,3.4,1.29,9.5,47,3,1,0,4,1,0,0,1,0,1
14050180,20,8,3.4,0.79,4.0,47,3,1,0,4,1,0,0,1,0,1
14050182,107,30,9.6,4.41,33.0,30,1,2,0,2,1,1,0,0,1,0
14050186,126,20,11.4,2.32,15.0,37,5,2,1,9,1,1,0,0,0,1
14050186,134,20,8.0,2.32,15.0,37,5,2,1,9,1,1,0,0,0,1
14050193,97,24,3.4,2.74,17.0,40,2,1,1,4,1,0,0,1,0,1
14050194,57,17,3.7,1.69,9.0,-1,2,1,1,4,1,1,0,0,1,0
14050226,18,6,2.2,0.64,3.5,76,0,0,0,1,0,0,0,1,0,1
14050250,170,112,28.2,23.85,184.0,65,0,2,2,2,0,1,0,0,0,1
14050278,289,62,40.0,11.32,85.0,46,2,2,0,4,1,1,0,0,1,0
19130012,99,58,30.6,10.89,81.0,49,-1,2,-1,1,1,1,0,0,1,0
19130036,253,46,41.0,6.74,53.5,29,2,2,0,0,1,0,0,1,0,1
19130062,16,3,3.4,0.34,2.0,46,2,2,0,5,1,0,0,1,0,1
19130062,78,22,19.2,4.11,32.0,46,2,2,0,5,1,0,0,1,0,1
19130062,18,2,3.0,0.27,1.0,46,2,2,0,5,1,0,0,1,0,1
19130080,98,31,15.2,4.57,31.6,43,3,2,0,5,1,0,0,1,0,1
19130080,14,2,0.0,0.37,1.2,43,3,2,0,5,1,0,0,1,0,1
19130092,127,36,29.0,5.36,39.0,36,-1,1,-1,1,1,0,0,1,1,0
19130092,28,6,0.0,0.63,2.4,36,-1,1,-1,1,1,0,0,1,1,0
19130149,162,34,21.6,5.12,37.0,41,2,2,0,4,1,1,0,0,1,0
19130149,150,32,23.2,5.07,35.0,41,2,2,0,4,1,1,0,0,1,0
19130203,26,16,6.0,1.89,12.0,52,1,2,0,7,2,0,0,1,0,1
19130206,134,12,15.8,1.53,10.0,66,0,2,0,0,1,1,0,0,0,1
19130206,118,33,24.2,4.7,32.0,66,0,2,0,0,1,1,0,0,0,1
19130238,138,12,12.4,1.53,10.0,67,0,1,0,2,1,1,0,0,0,1
19130252,180,86,51.4,18.69,122.0,61,0,1,0,0,0,1,0,0,1,0
19130279,519,378,76.4,66.36,508.9,67,0,2,1,1,0,0,0,1,0,1
19130291,197,102,63.6,20.79,160.0,39,1,2,-1,2,1,0,0,1,0,1
19130292,129,33,32.0,5.13,37.0,39,1,2,-1,2,1,0,0,1,0,1
19130374,367,133,0.0,26.14,141.5,42,0,1,0,0,1,0,0,1,0,1
19130486,19,4,2.2,0.43,2.5,35,1,1,0,3,0,1,0,0,1,0
19130578,44,16,4.8,2.49,17.0,31,0,2,0,2,1,0,0,1,1,0
19130578,31,6,2.2,0.96,4.5,31,0,2,0,2,1,0,0,1,1,0
19130578,29,5,2.2,0.92,4.5,31,0,2,0,2,1,0,0,1,1,0
19130766,145,54,33.6,10.7,82.0,57,0,1,0,2,1,1,0,0,0,1
19130798,113,42,34.6,5.4,42.0,40,0,1,1,0,1,1,0,0,1,0
19130798,188,42,34.6,5.4,42.0,40,0,1,1,0,1,1,0,0,1,0
19130827,221,56,38.4,9.49,72.0,39,2,2,-1,4,1,1,0,0,1,0
19130843,97,37,0.0,5.29,39.0,18,1,1,0,3,1,1,0,0,0,1
19130855,72,27,7.6,4.13,31.0,34,1,2,0,2,1,0,0,1,0,1
19130855,126,27,14.8,4.14,31.0,34,1,2,0,2,1,0,0,1,0,1
19130863,338,63,51.8,14.32,101.0,37,-1,-1,-1,-1,1,1,0,0,1,0
19130863,64,18,8.2,1.91,15.0,37,-1,-1,-1,-1,1,1,0,0,1,0
19130867,49,15,10.2,2.51,18.0,31,0,1,0,2,1,1,0,0,1,0
19130871,220,59,20.9,10.27,78.5,51,0,2,0,2,1,0,0,1,0,1
19130883,74,21,12.8,3.12,22.0,68,1,1,0,1,1,0,0,1,0,1
19130883,79,21,12.8,3.12,22.0,68,1,1,0,1,1,0,0,1,0,1
19130912,22,6,6.0,0.73,4.0,74,0,1,0,0,1,1,0,0,0,1
19130912,94,26,16.4,3.67,28.0,74,0,1,0,0,1,1,0,0,0,1
19130933,19,5,2.2,0.53,3.0,78,0,1,0,0,1,1,0,0,0,1
19610035,72,14,2.6,1.39,5.5,45,2,1,0,6,1,0,0,1,0,1
19610035,73,14,2.6,1.39,5.5,45,2,1,0,6,1,0,0,1,0,1
19610100,158,49,28.0,4.96,29.3,64,0,2,0,0,1,1,0,0,0,1
19610114,82,26,10.6,2.67,16.2,52,0,2,0,4,1,0,0,1,0,1
19610182,75,39,6.2,3.97,25.0,29,0,1,0,0,1,0,0,1,1,0
19610191,48,24,3.8,2.35,14.0,76,-1,1,-1,-1,0,0,0,1,0,1
19610192,51,27,7.6,2.38,15.0,78,-1,1,-1,-1,1,1,0,0,0,1
19610203,237,128,30.0,24.62,183.2,64,0,2,1,1,1,0,0,1,0,1
19650008,153,112,24.0,22.0,165.5,77,-1,-1,-1,-1,0,0,0,1,0,1
19650025,44,15,3.2,1.63,7.1,45,2,2,1,2,1,1,0,0,1,0
19650025,78,27,3.7,2.81,13.5,45,2,2,1,2,1,1,0,0,1,0
19650025,72,30,3.2,2.94,14.0,45,2,2,1,2,1,1,0,0,1,0
19650026,89,28,7.4,2.87,14.0,42,2,2,1,2,1,0,0,1,0,1
19650026,119,22,12.4,2.45,9.5,42,2,2,1,2,1,0,0,1,0,1
19650035,250,72,33.4,10.95,70.0,-1,0,2,0,1,1,0,1,0,0,1
19650041,96,38,11.0,3.78,16.9,36,0,1,0,0,1,1,0,0,1,0
19650041,10,7,3.0,0.73,4.0,36,0,1,0,0,1,1,0,0,1,0
19650071,24,0,3.0,0.13,0.1,52,0,2,1,4,1,1,0,0,1,0
19650072,262,61,27.6,6.48,39.3,52,0,2,1,4,1,1,0,0,1,0
19650138,75,34,4.4,3.25,14.0,48,2,2,0,4,1,1,0,0,1,0
19650162,76,15,4.8,1.59,8.5,75,-1,1,-1,-1,1,0,0,1,0,1
19650218,52,30,7.4,3.25,14.0,37,0,2,1,2,1,0,0,1,1,0
19650224,197,40,12.8,4.06,24.0,48,0,1,0,1,1,0,0,1,1,0
19650224,182,40,16.8,4.06,24.0,48,0,1,0,1,1,0,0,1,1,0
19650281,61,36,0.0,4.24,18.0,37,3,1,0,5,0,1,0,0,1,0
19650295,137,64,14.0,9.19,64.0,55,1,1,1,2,1,1,0,0,1,0
19650425,139,35,8.6,3.47,17.5,36,0,1,0,0,1,0,0,1,0,1
19650447,22,11,3.4,1.07,4.0,37,0,1,0,2,1,0,0,1,0,1
19650447,55,26,9.0,2.45,13.0,37,0,1,0,2,1,0,0,1,0,1
19650448,45,23,7.4,2.32,10.0,37,0,1,0,2,0,0,0,1,0,1
19650490,244,95,45.8,16.04,115.4,42,2,3,0,4,1,0,0,1,0,1
19650491,22,4,3.0,0.52,2.4,42,2,3,0,4,2,0,0,1,0,1
19650491,21,4,3.0,0.5,2.5,42,2,3,0,4,1,0,0,1,0,1
19650511,30,2,3.0,0.26,1.2,50,2,3,1,2,1,0,0,1,0,1
19650512,64,16,3.4,1.58,7.0,52,2,3,1,2,1,1,0,0,1,0
19650518,37,19,3.0,1.86,11.0,-1,-1,-1,-1,-1,1,0,1,0,0,1
19650575,24,4,3.0,0.54,2.0,54,0,1,0,0,1,0,0,1,1,0
19650575,111,31,4.8,3.17,17.5,54,0,1,0,0,1,0,0,1,1,0
19650631,146,59,18.4,6.03,28.0,32,1,2,3,2,1,0,0,1,0,1
19650663,23,12,3.4,1.23,6.0,20,0,2,0,1,1,0,0,1,1,0
19650699,37,17,6.8,2.03,10.0,51,2,2,0,4,1,1,0,0,1,0
19650699,43,9,6.4,1.0,5.0,51,2,2,0,4,1,1,0,0,1,0
19650700,103,28,6.0,2.92,12.8,51,2,2,0,4,1,1,0,0,1,0
19730033,203,57,23.25,6.94,46.0,37,2,2,1,4,1,0,0,1,0,1
19730034,303,96,44.6,11.82,77.0,37,2,2,1,4,1,0,0,1,0,1
19730078,150,53,8.4,5.32,30.9,46,1,1,0,3,1,0,0,1,0,1
19730085,82,30,6.0,2.89,14.0,27,-1,1,1,1,0,0,0,1,1,0
19730092,138,53,20.0,5.23,31.0,60,0,1,0,1,1,0,0,1,1,0
19730119,51,24,4.8,2.35,15.0,28,0,2,1,2,1,0,0,1,0,1
19730126,98,48,0.0,4.74,30.0,28,0,1,0,0,0,0,0,1,0,1
20860315,35,9,3.8,0.95,5.5,42,2,2,0,5,1,0,0,1,0,1
20860315,15,10,0.0,1.23,7.0,42,2,2,0,5,1,0,0,1,0,1
28000133,72,27,18.2,3.74,28.0,-1,-1,-1,-1,-1,1,0,1,0,0,1
28000144,33,8,4.4,1.02,3.5,63,0,2,0,1,1,1,0,0,0,1
28000144,40,6,4.4,0.73,2.5,63,0,2,0,1,2,1,0,0,0,1
28000178,115,20,13.4,2.29,9.6,-1,-1,-1,-1,-1,1,0,1,0,0,1
28000244,95,130,12.1,16.29,121.0,38,3,1,0,4,0,1,0,0,1,0
28000306,61,17,4.1,1.95,13.5,29,1,1,0,2,0,0,0,1,0,1
